Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logPrice,logRentzestimate,Price_per_sqft,Total_Housing_Units_By_Zip,Homeowner_Vacancy_Rate_By_Zip,Percent_Occupied_Housing_Lacking_Complete_Plumbing_Facilities,Percent_Occupied_Housing_Lacking_Complete_Kitchen_Facilities,Percent_Occupied_Housing_No_Telephone_Service_Available,Typical_Home_Value_Mar21,Avg_Typical_Home_Value_Over_Past_10yrs,Avg_Yearly_Value_Growth_Rate
311234,310000,2100,2,3,1330,SINGLE_FAMILY,101,Zip_93552,12.64830032,12.64432758,7.649692624,233.0827068,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
468056,465000,2500,3,3,2173,SINGLE_FAMILY,101,Zip_93552,13.05634323,13.04979268,7.824046011,213.9898757,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
490704,487500,2700,3,4,3319,SINGLE_FAMILY,101,Zip_93552,13.10359637,13.09704557,7.901007052,146.8815908,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
211448,210000,2200,2,3,1134,SINGLE_FAMILY,105,Zip_93535,12.26173438,12.25486281,7.696212639,185.1851852,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
544425,540000,2700,3,6,3801,SINGLE_FAMILY,101,Zip_93552,13.20748547,13.19932442,7.901007052,142.0678769,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
144712,130000,2155,1,1,1118,SINGLE_FAMILY,100,Zip_93553,11.88250084,11.77528973,7.675546003,116.2790698,670,0,0,0,1.6,333478,225413.3884,8.082334344
274313,285000,1970,2,4,1384,SINGLE_FAMILY,105,Zip_93535,12.52202507,12.56024446,7.585788822,205.9248555,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
395148,385000,2300,2,4,1841,SINGLE_FAMILY,105,Zip_93535,12.88701566,12.86099861,7.740664402,209.1254753,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
297786,295000,2150,2,3,1080,SINGLE_FAMILY,105,Zip_93535,12.60413039,12.59473064,7.673223121,273.1481481,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
418624,418000,2500,3,4,2609,SINGLE_FAMILY,105,Zip_93535,12.94472842,12.94323671,7.824046011,160.2146416,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
390698,390000,2300,3,4,2447,SINGLE_FAMILY,105,Zip_93535,12.87569016,12.87390202,7.740664402,159.3788312,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
250448,250000,2131,2,3,1053,SINGLE_FAMILY,105,Zip_93535,12.43100659,12.4292162,7.664346632,237.4169041,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
411102,410000,2400,3,4,2332,SINGLE_FAMILY,105,Zip_93535,12.92659664,12.92391244,7.783224016,175.8147513,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
353288,352000,2200,2,4,1742,SINGLE_FAMILY,105,Zip_93535,12.77503887,12.77138645,7.696212639,202.0665901,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
382394,381000,2300,2,3,1815,SINGLE_FAMILY,105,Zip_93535,12.85420677,12.85055465,7.740664402,209.9173554,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
316254,315000,2095,2,3,1215,SINGLE_FAMILY,105,Zip_93535,12.66430097,12.66032792,7.647308832,259.2592593,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
360092,392000,2300,3,4,1889,SINGLE_FAMILY,105,Zip_93535,12.79411483,12.87901712,7.740664402,207.5172049,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
351280,350000,2200,2,3,1761,SINGLE_FAMILY,105,Zip_93535,12.76933891,12.76568843,7.696212639,198.7507098,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
421536,420000,2400,3,4,2310,SINGLE_FAMILY,105,Zip_93535,12.95166046,12.94800999,7.783224016,181.8181818,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
356299,355000,2100,2,3,1305,SINGLE_FAMILY,105,Zip_93535,12.78352554,12.77987307,7.649692624,272.0306513,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
373481,372000,2200,2,3,1556,SINGLE_FAMILY,105,Zip_93535,12.83062241,12.82664913,7.696212639,239.0745501,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
354589,200000,2200,3,5,2289,SINGLE_FAMILY,105,Zip_93535,12.77871465,12.20607265,7.696212639,87.3743993,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
387281,385000,2250,3,3,1881,SINGLE_FAMILY,105,Zip_93535,12.86690581,12.86099861,7.718685495,204.6783626,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
372192,375000,2300,3,4,2114,SINGLE_FAMILY,105,Zip_93535,12.82716513,12.8346813,7.740664402,177.3888363,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
410734,410000,2950,3,3,2082,SINGLE_FAMILY,100,Zip_93532,12.92570108,12.92391244,7.989560449,196.9260327,1145,0.7,0,2,1.5,353964,238135.8595,7.755413397
588655,585000,2700,3,4,2644,SINGLE_FAMILY,106,Zip_93536,13.28559555,13.27936713,7.901007052,221.2556732,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
387655,385000,2796,2,3,1645,SINGLE_FAMILY,100,Zip_93532,12.86787105,12.86099861,7.935945103,234.0425532,1145,0.7,0,2,1.5,353964,238135.8595,7.755413397
382106,379000,2695,2,3,1360,SINGLE_FAMILY,100,Zip_93532,12.85345334,12.84529148,7.899153483,278.6764706,1145,0.7,0,2,1.5,353964,238135.8595,7.755413397
275373,164000,2400,1,3,858,SINGLE_FAMILY,106,Zip_93536,12.52588182,12.00762171,7.783224016,191.1421911,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
308142,300000,2400,1,2,825,SINGLE_FAMILY,106,Zip_93536,12.63831599,12.61153775,7.783224016,363.6363636,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
519913,465000,2900,3,3,2434,SINGLE_FAMILY,106,Zip_93536,13.16141677,13.04979268,7.972466016,191.0435497,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
456165,440000,2550,3,4,2949,MANUFACTURED,106,Zip_93536,13.03060987,12.99453001,7.843848638,149.2031197,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
380065,385000,2300,3,3,1663,SINGLE_FAMILY,106,Zip_93536,12.84809757,12.86099861,7.740664402,231.5093205,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
749072,770000,3500,3,4,2115,SINGLE_FAMILY,105,Zip_91384,13.52659039,13.55414579,8.160518247,364.0661939,7252,0.6,0,0.1,1.3,657670,496743.686,6.479724863
482426,470000,2395,2,3,1854,SINGLE_FAMILY,113,Zip_93551,13.08658282,13.06048797,7.78113851,253.5059331,16698,1,0.2,0.8,1.6,476988,333422.4876,8.60072067
399003,399000,1902,3,3,2000,SINGLE_FAMILY,97,Zip_93560,12.89672421,12.8967167,7.550661243,199.5,7914,2.1,0.9,0.9,3.2,312840,202998.4628,9.811996429
439690,2500,2500,2,5,2119,SINGLE_FAMILY,113,Zip_93550,12.99382521,7.824046011,7.824046011,1.179801793,23222,1.3,0.3,0.9,1.7,343406,219561.8512,11.06039039
631783,625000,2675,2,3,2416,SINGLE_FAMILY,113,Zip_93551,13.35630126,13.34550693,7.891704659,258.692053,16698,1,0.2,0.8,1.6,476988,333422.4876,8.60072067
353191,380000,2245,2,4,1584,SINGLE_FAMILY,113,Zip_93550,12.77476427,12.84792653,7.7164608,239.8989899,23222,1.3,0.3,0.9,1.7,343406,219561.8512,11.06039039
378375,410000,2500,3,4,1922,SINGLE_FAMILY,113,Zip_93550,12.84364105,12.92391244,7.824046011,213.3194589,23222,1.3,0.3,0.9,1.7,343406,219561.8512,11.06039039
591972,635000,2500,3,4,2188,SINGLE_FAMILY,113,Zip_93551,13.29121462,13.36138028,7.824046011,290.2193784,16698,1,0.2,0.8,1.6,476988,333422.4876,8.60072067
994980,995000,2700,4,5,5411,SINGLE_FAMILY,106,Zip_93536,13.81047792,13.81049802,7.901007052,183.8846794,23015,2,0.1,0.5,1.4,434092,293638,9.307323968
72945,117000,2495,2,2,1440,MANUFACTURED,148,Zip_93534,11.19746101,11.66992921,7.822044008,81.25,15883,4.5,0.7,1.4,2.5,313115,195497.0826,11.24150437
551972,567000,2500,3,5,2661,SINGLE_FAMILY,113,Zip_93551,13.2212526,13.24811458,7.824046011,213.0777903,16698,1,0.2,0.8,1.6,476988,333422.4876,8.60072067
599905,612000,2700,3,5,4469,SINGLE_FAMILY,113,Zip_93551,13.30452659,13.32448756,7.901007052,136.9433878,16698,1,0.2,0.8,1.6,476988,333422.4876,8.60072067
787665,825000,3400,4,3,2221,SINGLE_FAMILY,123,Zip_93010,13.57682815,13.62313867,8.131530711,371.4542999,16726,0.6,0.3,1.9,1,703044,554725.9091,5.362723007
671646,689000,3100,2,3,1460,SINGLE_FAMILY,119,Zip_93021,13.41748669,13.44299655,8.03915739,471.9178082,12665,0.7,0.1,0.1,1.6,744928,591688.4545,5.124771697
558872,561000,2995,3,3,1605,TOWNHOUSE,117,Zip_93065,13.23367575,13.23747618,8.004699511,349.5327103,24803,1.1,0.4,0.5,1.3,680041,520538.3306,5.466899636
651386,665000,3200,3,5,1725,SINGLE_FAMILY,117,Zip_93065,13.38685768,13.40754232,8.070906089,385.5072464,24803,1.1,0.4,0.5,1.3,680041,520538.3306,5.466899636
888140,1015000,3700,3,5,2947,SINGLE_FAMILY,121,Zip_91387,13.69688467,13.83039917,8.216088099,344.4180523,13436,1.4,0.1,0.7,1.2,657898,485411.8678,6.86458069
779747,790000,3250,2,4,1998,SINGLE_FAMILY,117,Zip_93065,13.56672479,13.57978822,8.086410275,395.3953954,24803,1.1,0.4,0.5,1.3,680041,520538.3306,5.466899636
235062,255000,1450,2,2,920,SINGLE_FAMILY,137,Zip_93222,12.36760459,12.44901882,7.279318835,277.173913,2088,9.9,0,0,0,314213,217043.8099,6.407481195
225087,225000,1450,1,3,1040,SINGLE_FAMILY,104,Zip_93561,12.32424227,12.32385568,7.279318835,216.3461538,13516,2.3,0.5,0.2,1.1,334910,241454.1736,6.468732158
298762,345000,1550,2,2,1260,SINGLE_FAMILY,137,Zip_93222,12.60740255,12.7512997,7.34601021,273.8095238,2088,9.9,0,0,0,314213,217043.8099,6.407481195
313701,307000,1800,2,3,1570,SINGLE_FAMILY,104,Zip_93561,12.65619558,12.63460303,7.495541944,195.5414013,13516,2.3,0.5,0.2,1.1,334910,241454.1736,6.468732158
529799,515000,2450,2,3,1477,SINGLE_FAMILY,116,Zip_93446,13.18025297,13.15192218,7.803843304,348.6797563,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
297728,327500,1700,1,1,700,CONDO,134,Zip_93401,12.6039356,12.69924333,7.43838353,467.8571429,13422,0.6,0.3,1.2,1.1,801391,652542.4959,5.213121642
1259562,1249000,3766,3,3,2739,SINGLE_FAMILY,122,Zip_93420,14.0462746,14.03785379,8.233768709,456.0058415,12907,0.7,0.2,1.4,1.2,769292,620563.8017,5.390098589
708105,720450,2650,2,3,2054,SINGLE_FAMILY,116,Zip_93446,13.47034767,13.4876313,7.882314919,350.7546251,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
1992308,1850000,5707,4,4,4432,SINGLE_FAMILY,116,Zip_93446,14.50480432,14.4306962,8.649448771,417.4187726,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
1865012,1800000,6105,4,4,3540,SINGLE_FAMILY,124,Zip_93405,14.43877805,14.40329722,8.716863387,508.4745763,9571,1.5,0,1,1.5,822887,659241.8678,5.694552173
353301,345000,2200,2,2,1088,SINGLE_FAMILY,116,Zip_93446,12.77507566,12.7512997,7.696212639,317.0955882,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
1051254,1050000,3000,3,4,2400,SINGLE_FAMILY,114,Zip_93422,13.8654943,13.86430072,8.006367568,437.5,13287,0.6,0.1,1.2,2,611718,461448.3388,6.100424847
744597,745000,3490,4,4,2807,SINGLE_FAMILY,116,Zip_93446,13.52059841,13.5211395,8.157657015,265.4079088,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
363189,360000,2300,2,3,1550,SINGLE_FAMILY,116,Zip_93446,12.80267864,12.79385931,7.740664402,232.2580645,19411,1.8,0.2,0.5,1.4,585661,439975.6281,6.247005354
