Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
321481,320000,1795,1,1,592,CONDO,110,Zip_91354,12.68069372,12.67607627,7.492760301,540.5405405
590447,568000,3200,3,3,1844,TOWNHOUSE,132,Zip_91355,13.28863516,13.2498767,8.070906089,308.0260304
838692,830000,3400,2,3,1893,SINGLE_FAMILY,110,Zip_91354,13.63959881,13.62918098,8.131530711,438.4574749
938226,930000,3500,3,5,2870,SINGLE_FAMILY,110,Zip_91354,13.75174614,13.74293987,8.160518247,324.0418118
586073,580000,2950,2,3,1250,SINGLE_FAMILY,111,Zip_91350,13.28119963,13.27078338,7.989560449,464
571284,565000,3000,2,4,1260,SINGLE_FAMILY,111,Zip_91350,13.25564174,13.24458101,8.006367568,448.4126984
641374,640000,3200,3,3,2014,SINGLE_FAMILY,110,Zip_91354,13.37136803,13.36922346,8.070906089,317.775571
810107,800000,3500,3,3,2137,SINGLE_FAMILY,110,Zip_91354,13.60492162,13.59236701,8.160518247,374.3565746
737197,728000,3350,3,4,2272,SINGLE_FAMILY,132,Zip_91355,13.51061044,13.49805633,8.116715625,320.4225352
852269,845000,3300,4,4,2877,SINGLE_FAMILY,110,Zip_91354,13.65565748,13.64709191,8.101677747,293.7087244
548372,560000,2675,2,2,972,SINGLE_FAMILY,111,Zip_91390,13.21470917,13.23569206,7.891704659,576.1316872
691030,690000,3200,2,3,1455,SINGLE_FAMILY,110,Zip_91354,13.44593852,13.44444688,8.070906089,474.2268041
889143,888000,4000,3,4,2792,SINGLE_FAMILY,110,Zip_91354,13.69801336,13.69672702,8.29404964,318.0515759
649161,648000,3200,3,3,1962,SINGLE_FAMILY,110,Zip_91354,13.38343604,13.38164598,8.070906089,330.2752294
561171,560000,3200,3,3,1660,TOWNHOUSE,110,Zip_91354,13.23778095,13.23569206,8.070906089,337.3493976
810448,860000,3700,3,4,2766,SINGLE_FAMILY,110,Zip_91354,13.60534246,13.66468767,8.216088099,310.9182936
488502,500500,2750,3,2,1484,TOWNHOUSE,110,Zip_91354,13.09909884,13.12336288,7.919356191,337.2641509
486159,485000,2750,3,4,1286,TOWNHOUSE,111,Zip_91390,13.09429101,13.09190417,7.919356191,377.1384137
486159,485000,2700,3,3,1146,TOWNHOUSE,111,Zip_91390,13.09429101,13.09190417,7.901007052,423.2111693
793126,840000,3200,3,4,2664,SINGLE_FAMILY,110,Zip_91354,13.58373738,13.64115717,8.070906089,315.3153153
647827,650000,3100,2,3,1279,SINGLE_FAMILY,111,Zip_91350,13.38137896,13.38472764,8.03915739,508.2095387
735145,750000,3500,3,4,2363,SINGLE_FAMILY,110,Zip_91354,13.50782304,13.52782849,8.160518247,317.3931443
652378,650000,3150,3,3,1672,SINGLE_FAMILY,110,Zip_91354,13.38837943,13.38472764,8.055157732,388.7559809
622268,620000,2900,2,3,1116,SINGLE_FAMILY,111,Zip_91390,13.34112615,13.33747476,7.972466016,555.5555556
677788,675100,3156,2,3,1279,SINGLE_FAMILY,111,Zip_91350,13.42658983,13.42261611,8.057060682,527.8342455
994262,990000,3300,4,5,3262,SINGLE_FAMILY,111,Zip_91390,13.80975603,13.80546022,8.101677747,303.4947885
611353,615000,2945,3,3,1592,SINGLE_FAMILY,111,Zip_91390,13.32342981,13.32937755,7.987864096,386.3065327
810584,799900,3450,3,4,2288,SINGLE_FAMILY,110,Zip_91354,13.60551025,13.592242,8.14612951,349.6066434
855901,880000,3575,3,5,2850,SINGLE_FAMILY,110,Zip_91354,13.65990999,13.68767719,8.181720455,308.7719298
663809,690000,3100,2,3,1765,SINGLE_FAMILY,110,Zip_91354,13.40574974,13.44444688,8.03915739,390.9348442
736382,855000,3450,3,4,2010,SINGLE_FAMILY,111,Zip_91350,13.50950428,13.65885675,8.14612951,425.3731343
798423,835000,3300,3,4,2858,SINGLE_FAMILY,111,Zip_91390,13.59039381,13.635187,8.101677747,292.1623513
764503,760000,3450,2,4,2021,SINGLE_FAMILY,111,Zip_91350,13.54698123,13.54107371,8.14612951,376.0514597
